titulo_ci,precio_ci
Vinto tinto Finca Río Negro 5º año 2012 Castilla La Mancha,"26,15,15"
Cava Gran Torelló Brut Nature Gran Reserva,29
Vino tinto Cueva del Monge Rioja,17
Vino tinto Abadía Retuerta Selección Especial Castilla y León,23
Vino blanco monovarietal malvar La Malvar,13
Vino amontillado Vors Lustau Jerez,48
Vino tinto Las Reñas Selección Bullas,15
Vino La Bota de Palo Cortado 75 ''Sanlúcar'' Equipo Navazos,57
Vino tinto Artadi Viña El Pisón 2014 Rioja,492
Vino tinto Valtosca Jumilla,18
Vino tinto Alvaro Palacios Finca Dofí 2016 Priorato,84
Vino tinto Pingus 2016 Dominio de Pingus Tempranillo Ribera del Duero,1.290
Vino tinto Pingus 2016 Dominio de Pingus Tempranillo Ribera del Duero magnum,"2.649,298"
Vino tinto La Faraona 2015 Bierzo,1.465
Vino tinto Gratallops de Álvaro Palacios Priorato,48
Vino tinto Pesquera reserva Ribera del Duero Magnum,62
Vino tinto Antídoto Ribera del Duero,"15,75"
Cava Juvé & Camps Colección Cruise by Sergio Mora Reserva de la Familia ecológico Brut Nature con caja,99
Vino tinto En sus Trece Calatayud de El escocés volante,"19,10,19"
Cava Gran Reserva Brut Nature Leopardi Llopart,23
Vino rosado Scala Dei Pla dels Àngels Priorato,24
Vino tinto Cepa 21 Ribera del Duero magnum con caja,44
Vino tinto Artadi El Carretil 2016 Tempranillo Rioja Alavesa,249
Vino tinto Artadi Valdeginés 2016 Tempranillo Rioja Alavesa,57
Vino tinto Montcabrer Alicante,19
Vino blanco Termes Malvasía Toro,21
Vino tinto Pago de Carraovejas El Anejón 2014 Ribera del Duero,97
Vino tinto Arx Tesalia Cádiz,22
Vino rosado Pinot Noir Viñas del Vero Pago Las Almunietas Somontano,9
Vino tinto Termanthia Magnum,750
Vino tinto Finca Vallobera Rioja,15
Vino tinto El Regajal Selección Especial Madrid,14
Vino tinto Embruix Val Llach Priorato,17
Vino tinto 12 Volts Mallorca,17
Vino tinto Altos de La Finca Tierra de Castilla,17
Estuche 2 botellas vino espumoso rosado Edoné Rosé Gran Cuvée 2016 Tierra de Castilla + 2 copas,35
Vino tinto Peraj Ha'abib Flor de Primavera Montsant,29
Vino tinto Finca San Cobate Ribera del Duero,19
Estuche 2 botellas vino tinto Maravides 2017 Tierra de Castilla con 2 copas,33
Vino tinto Valduero Una Cepa Ribera del Duero,35
Estuche 2 botellas vino espumoso Edoné Gran Cuvée 2015 Tierra de Castilla  con 2 copas,34
Vino blanco Txacoli de Marqués de Riscal Getaria Txacolina,13
Vino tinto Cosme Palacio reserva viñedos viejos Tempranillo Rioja,24
Vinto tinto Tr3smano Tempranillo Ribera del Duero,35
Vino tinto Dehesa de los Canónigos crianza Ribera del Duero magnum,45
Colección Benjamín Romeo Rioja,890
Vino blanco Getariako Txacolina Txakolí Rezabal Arri,10
Pedro Ximénez 30 años Viejísimo VORS Venerable Jerez,80
Vino tinto Valderiz Ribera del Duero,18
"Estuche colección vino tinto Selección Especial, Crianza y Roble Convento San Francisco Ribera del Duero",54
Vino Blanco de La Sierra de Salamanca La Zorra Raro 8 Vírgenes,9
Vino tinto CVC Sierra Cantabria Rioja Colección de tres añadas,795
Vino blanco El Transistor Rueda,"18,6"
Vino tinto M2 de Matallana Ribera del Duero,24
Vino tinto Reserva Quod Superius Utiel Requena,45
Vino La Bota de Manzanilla 71 Equipo Navazos,27
Vino tinto Gran Claustro Empordà,40
Vino tinto Milú Ribera del Duero,8
Vino blanco Txacolí Itsasmendi,9
Vino Tinto Selectus Castilla La Mancha,19
Vino amontillado Del Duque Jerez,36
Vino tinto Las Rocas Calatayud,8
Vino tinto Abadia de San Quirce Ribera del Duero,10
Vino blanco Quinta Apolonia Belondrade Castilla y León,18
Vino Tinto Bierzo Carracedo,17
Vino manzanilla pasada en rama Solear saca de primeravera Manzanilla-Sanlúcar de Barrameda,12
Vino Blanco de Cataluña Pardas,21
Vino blanco Mais Cunqueiro Ribeiro,"12,5"
Vino Blanco Vía Edetana Terra Alta,16
Vino tinto Viuda Negra crianza Rioja,12
Vino Espumoso Recaredo Serral del Vell Brut Nature de larga crianza ecológico Corpinnat,39
Vino blanco Menade Sauvignon Blanc ecológico Rueda,"14,12"
Vino blanco La Marimorena The Wine Gurus Rías Baixas,"14,6"
Vino esmpumoso Recaredo Terrers Brut Nature de larga crianza ecológico Corpinnat,22
Brut Reserva ecológico At Roca Penedés,14
Vino Palo Cortado Península Lustau Jerez,23
Vino blanco Marqués de Riscal Sauvignon Blanc Organic Rueda,9
Vino rosado Cesilia Vinalopó Alicante,11
Vino fino Tradición Jerez,25
Vino rosado Marqués de Riscal Rioja,6
Vino tinto Le Naturel Navarra,7
Vino tinto Viñas del Cámbrico Salamanca,13
Vino tinto Finca Moncloa Cádiz,16
Vino tinto El Recio Matsu Toro,14
Vino tinto Alto Moncayo Campo de Borja,36
Vino tinto Guelbenzu Evo Ribera del Queiles,14
Vino tinto Alto Moncayo Veraton Campo de Borja,24
Vino tinto El Nido Juan Gil Jumilla,141
Vino tinto Ánima Negra ÀN/2 Mallorca,18
Vino tinto Viña Ardanza reserva Rioja,22
Vino tinto Marqués de Riscal Barón de Chirel reserva Rioja,69
Caja vinos blancos Santiago Ruiz y Aura Rías Baixas y Rueda,
Cava Albert Vilarnau fermentado en barrica,34
Estuche colección tintos Winery Arts Ribera del Queiles,34
Vino tinto Casa de la Viña Tempranillo Edición Limitada La Mancha,11
Vino tinto Mirto reserva Rioja,39
Vino tinto Manuel Manzaneque Cabernet Sauvignon Finca Élez,17
Vino blanco Ultreia Godello Bierzo Raúl Pérez,13
Vino tinto Finca Casilla Herrera Bassus,24
Vino espumoso Reserva Pago de Tharsys Único Utiel-Requena,30
Cava Castell Sant Antoni Gran Reserva Brut Nature,19
Vino tinto Món Montesanco Bobal Utiel-Requena,26
Vino blanco Viognier Carrascas Tierra de Castilla,12
Vino tinto Termes Toro,24
Vino tinto Páramo de Legaris Ribera del Duero,22
Vino tinto Estrecho Alicante,26
Vino de autor Gran Lerma Arlanza,18
Vino blanco Leirana Albariño Rías Baixas,13
Vino tinto Milagros de Figuero Ribera del Duero,43
Vino tinto Comenge Reserva Ribera del Duero,19
Vino tinto El Músico 12 meses en barrica León,22
Vino tinto Emina Prestigio Ribera del Duero,22
Vino tinto Ultreia de Valtuille Mencía Bierzo Raúl Pérez,39
Vino tinto Viña Ardanza Reserva Rioja Magnum,54
Vino blanco Gorka Izagirre Bizkaiko Txakolina,9
Vino tinto Salmos Priorato,33
"Estuche 3 botellas El Puntido 2007, Sierra Cantabria Colección Privada 2007 y San Vicente 2007 Familia Euguren Rioja",120
Estuche vinos Ultreia de Raúl Pérez Bierzo,65
Vino tinto Juan Gil 18 meses Selección Club del Gourmet Jumilla,26
Vino tinto Aro de Muga Rioja,149
Vino tinto ecológico El Pícaro del Águila Ribera del Duero,22
Cava Gran Juvé & Camps brut Gran Reserva,37
Vino dulce de naranja Oliveros Condado de Huelva,9
Vino generoso Pedro Ximénez Premium Fernando de Castilla Jerez,17
Caja 2 botellas vino rosado Chiringuito de Playa con cerámica Porrón Molón,49
Vino oloroso viejo Antique Jerez-Xerez-Sherry,28
Vino tinto Reserva Ad Gaude,29
Vino tinto Señorío de Andión Navarra,19
Vino tinto Valdesil Valderroa,13
"Caja vinos tintos Izadi, Finca Villacreces y Vetus Rioja, Ribera y Toro",13
Vino tinto Parajes de los Vidrios Madrid,15
Vino de Jerez Oloroso Solera de su Majestad Valdespino,88
Vino tinto Mauro V.S. Castilla y León Magnum,149
Vino oloroso viejo de Jerez Villapanes Emilio Hidalgo,28
Vino blanco Hacienda El Caserío Navarra,8
Vino blanco espumoso albariño Vcuvee especial Valtea,19
Vino Blanco Ribeiro Atlántico El Paraguas,19
Vino tinto Edén Ribera del Guadiana,25
Vino tinto Davila Castañal C100 Rías Baixas,19
Vino tinto Pagos del Galir Rosa Rivero crianza Valdeorras,14
Vino tinto Malpuesto Rioja,34
Vino blanco joven Tocat de l'Ala DO Emporda,10
Vino tinto Scala Dei Cartoixa Priorato,
Vino tinto dulce Olivares Jumilla,19
Vino blanco V Malcorta Javier Sanz Viticultor Rueda,17
Vino tinto garnacha L'Equilibrista Cataluña,20
Vino tinto L'Equilibrista Cataluña,16
Vino tinto Venus La Universal Montsant,43
Vino tinto Reserva XR de Marqués de Riscal Rioja,39
Estuche dos botellas 125 Aniversario Bodegas Palacio Rioja,25
Vino amontillado Bertola Jerez,14
Vino tinto Legado de Gala Placidia Cariñena,24
Vinto tinto El Primero Cunqueriro,29
Vino tinto Galena Priorato,23
Vino tinto Cirsion Rioja,199
Vino blanco Godello con crianza Ultreia La Claudina Bierzo Raúl Pérez,32
Vino tinto Frontonio Valdejalón,16
Vino tinto Carmelo Rodero Reserva Ribera del Duero magnum,75
Vino tinto Pricum Paraje de El Santo Prieto Picudo León,25
Vino fino Sherry Bertola Jerez,10
Vino rosado La Huella de Aitana Navarra,11
Vino blanco Colección Privada Felix Azpilicueta Rioja,19
Cava Masía Segle XV Gran Reserva Brut Nature Rovellats,23
Vino amontillado Marqués de Poley 1951 Toro Albalá,164
Vino tinto Emilio Valerio Navarra,9
Vino Tinto Petit Vetas Sierras de Málaga,42
Vino blanco Lunares Sierras de Málaga,12
Vino blanco Remírez de Ganuza Reserva Rioja,29
Vino tinto Alaya Tierra Almansa,"29,4"
Vino amontillado Coliseo Valdespino Jerez,93
Vino tinto Terreus Paraje de Cueva Baja bodegas Mauro,99
Vino blanco Oluar do Sil Pago de los Capellanes Godello sobre lías Valdeorras,17
Vino blanco Viognier Vallegarcía Montes de Toledo,19
Vino blanco Gramona Gessami Penedés,11
Vino tinto F. Schatz Finca Sanguijuela Sierras de Málaga,27
Vino semidulce Malvasía Bermejo Lanzarote,17
Vino dulce Chivite Colección 125 vendimia tardía Navarra,29
Vino blanco Gramona Chardonnay Penedés,12
Vino rosado Gran Feudo Edición Navarra,8
Vino blanco Marqués de Riscal Finca Montico verdejo Rueda,14
Vino tinto Aquilón Campo de Borja,129
Vino tinto La Zorra Vieja Selección Especial 20 barricas Castilla y León,16
Vino rosado Belondrade Quinta Clarisa Castilla y León,11
Vino tinto Viña Pedrosa Reserva Ribera del Duero,42
Vino tinto La Garnacha Olvidada de Aragón Calatayud,10
Vino tinto Toraltus selección especial 2014 Toro Club del Gourmet,15
Vino blanco Doniene Bizkaiko Txakolina,24
Vino tinto La Zorra Castilla y León,12
Vino rosado Ochoa vendimia seleccionada Navarra,7
Vino tinto Heritage Convento de Las Claras Ribera del Duero,
Vino tinto crianza Casa de la Ermita Petit Verdot Jumilla,18
Vino tinto Haragán Ribera del Guadiana,21
Vino rosado espumoso Brut Nature Ocnos Andalucía,12
Vino tinto Felix Azpilicueta Colección Privada Rioja,23
Vino tinto crianza Salinas 1237 Alicante,51
Vino tinto ecológico Finca el Molar Selección Manchuela,13
Vino tinto Mas d'en Compte Priorato,22
Vino rosado El Grifo Lanzarote,11
Vino blanco selección Finca Monte Alto Fillaboa Rías Baixas,"17,7"
Vino blanco La Mar Rías Baixas,22
Vino Blanco Verdejo Pie Franco D.O. Rueda,11
Vino blanco albariño Organistrum Rías Baixas,18
Vino blanco Valdesil Godello sobre lías Valdeorras,13
Vino blanco Davila L-100 Rías Baixas,19
Vino rosado Tombú Castilla y León,"9,19"
Vino tinto Licinia Crianza Madrid,24
Vino tinto 575 Uvas de Cámbrico Salamanca,21
Vino tinto Xestal Mencía Bierzo,15
Vino tinto Thermanthia 2013 Toro,234
Vino tinto Principe de Viana 1423 Reserva Navarra,21
Vino tinto Pago de los Capellanes crianza Ribera del Duero Magnum,"42,7"
Vino tinto Abadia de San Quirce Finca Helena Ribera del Duero,58
Vino blanco Malkoa Txakolí de Álava,32
Vino tinto Figuero Viñas Viejas Ribera del Duero,26
Vino tinto María de Alonso del Yerro Ribera del Duero,52
Cava rosado Martínez brut nature,13
Vino espumoso Encina Blanca de Alburquerque Brut Nature Extremadura,8
Vino blanco Rioja Sierra de Cantabria,16
Vino tinto Garmón Ribera del Duero,37
Vino tinto 4ª Generación Don Bernardino Ribeira Sacra,15
Vino tinto Lavia+ viñedos de altura Monastrell-Cepas Viejas Bullas,
Vino generoso Palo Cortado viejo Antique Jerez-Xerez-Sherry,35
Vino tinto Gran Reserva Sueño de Megala Valencia,30
Vino blanco crianza Cantallops Xarel.lo AT Roca Penedés,23
Vino tinto Finca Sellés Monastrell Alicante,7
Vino tinto Roda reserva Rioja,28
Vino tinto Bruma del Estrecho Finca Mandiles,17
Vino dulce Pedro Ximénez Lustau VOS 20 años Jerez,48
Cava Brut Nature Oriol Rossell,27
Vino tinto ecológico Bobal serie Wild Utiel Requena,13
Vino tinto El Hombre Bala Garnacha Madrid Comando G,"18,6,18"
Cava Brut Gran Reserva Agustí Torelló Mata,
Vino tinto Imperial Cune Gran Reserva Rioja,48
Vino tinto Viña Pomal Reserva Terruño Centenario Rioja,21
Vino tinto Manto Negro Crianza Gallinas & Focas Mallorca,22
Vino tinto Pago El Espino Sierras de Málaga,20
Vino tinto Cortijo Los Aguilares Sierra de Málaga,12
Vino tinto Moisés Gran Vino Toro,"23,16"
Vino blanco Caserío de Dueñas superior en rama verdejo Rueda,15
Cava Tantum Ergo pinot noir barrica,
Vino blanco Pastoriega verdejo Selección Club del Gourmet Rueda,14
Vino tinto Finca Azaya Castilla y León,23
Vino tinto Anibal de Otero Viña Centenaria Bierzo,30
Vino blanco espumoso Cuvée Extra Brut Esplendor de Vardon Kennett,35
Vino tinto Maneras de Vivir Valencia,17
Vino dulce de Alicante Fondillón 1996,58
Vino blanco Calvente Guindalera Granada,14
Vino tinto Capricho de Landaluce Rioja,22
Vino tinto Altocielo Sierras de Málaga,17
Vino tinto La mujer Cañón Garnacha Madrid Comando G,74
Vino tinto Castaño Colección Yecla,13
Vino tinto Rectoral de Amandi Manolo Arnoya Ribeira Sacra,20
Vino blanco crianza Cérvoles Blanc Costers del Segre,25
Vino Moscatel Señorío de Andión Navarra,33
Vino tinto Lavia viñedos de altura Monastrell-Syrah Bullas,9
Vino tinto Guerinda Tres Partes Navarra,8
Vino Tinto Terra do Gargalo Carballo Monterrei,23
Vino tinto crianza Sol de Alicante,13
Vino tinto Abadia de San Quirce Reserva Ribera del Duero,
Vino tinto Marqués de Griñón Syrah Valdepusa,28
Vino blanco Abadal Picapoll Pla de Bages,13
Vino blanco Lapola Ribeira Sacra,21
Vino tinto El Viejo Matsu Toro,"32,6"
Vino tinto Lalama Ribeira Sacra,18
Vinto tinto Seis al Revés Ribera del Queiles,9
Vino tinto Nekeas Navarra,10
Cava Brut Nature Rania Bodegas H Calvente Granada,14
Vino tinto Altos de Inurrieta reserva Navarra,13
Vino tinto Cosme Palacio crianza Rioja Alavesa,
Vino tinto Pago de Larrainzar Reserva Especial Navarra,25
Vino tinto Matarromera Gran Reserva Ribera del Duero,77
Vino tinto Viña Albina Gran Reserva Rioja Alta,23
Vino tinto Olivier Rivière El Cadastro,29
Vino tinto Gonzaga Club del Gourmet Rioja Alta Magnum,35
Vino tinto Artadi  Viñas de Gain Selección de Añada Rioja Alavesa,22
Vino blanco Ossian verdejo agricultura ecológica Castilla y León,32
Vino blanco floral At Roca Penedés,10
Vino tinto Valtravieso VT Ribera del Duero,27
Vino tinto Dominio de Atauta Crianza Ribera del Duero,29
Vino blanco verdejo Loess Rueda,9
Vino blanco José Pariente Verdejo fermentado en barrica Rueda,16
Vino tinto El Puntido reserva Rioja,37
Vino tinto 12 Linajes Reserva Ribera del Duero,26
Vino tinto Nabal Alta Expresión Tempranillo Ribera del Duero,22
Vino tinto Puente del Ea Rioja,9
Vino tinto Dehesa de los Canónigos Solideo reserva Ribera del Duero,48
Vino fino Solera 10 años Pedro Ximénez Eléctrico Montilla-Moriles,9
Vino blanco Ribeiro Leive Paradigma,15
Vino blanco Moscatel Sol de Alicante,7
Vino blanco A Coroa Lías Valdeorras,14
Vino tinto Penya Cadiella Alicante,12
Vino rosado Naranjas Azules,8
Vino tinto Fuentes del Silencio Castilla y León,19
Vino tinto Mira Salinas Alicante,17
Vino tinto Huno Blend Ribera del Guadiana,13
Vino tinto Guelbenzu Azul Ribera del Queiles,7
Vino tinto Viña al lado de la Casa Castaño Yecla,15
Cava Brut Nature Reserva 24 Rimarts,12
Vino tinto A Mi Manera Benjamín Romeo Rioja,14
Vino tinto Marqués de Riscal Finca Torrea Rioja,27
Vino blanco Albillo Real Las Moradas Madrid,14
Vino tinto Vetas Junior Sierras de Málaga,11
Vino rosado Pavina rosé Pinot Noir Castilla y León,8
Vino fino clásico Fernando de Castilla Jerez,8
Vino blanco Cloe Doña Felisa Sierras de Málaga,14
Vino fino La Panesa Emilio Hidalgo Jerez,29
Vino rosado ecológico Saó Costers del Segre,8
Vino tinto Protos gran reserva Ribera del Duero,45
Vino dulce Lustau East India Solera Jerez,18
Cava Brut Nature Gran Reserva Gramona III Lustros,34
Vino tinto Villa de Corullón J Palacios Bierzo,48
Vino blanco Gramona Mustillant Brut,7
Vino dulce Pedro Ximénez San Emilio Lustau Jerez,20
Vino blanco La Revelía de Emilio Moro Bierzo,25
Vino tinto Txakolí Eklipse Itsasmendi Bizkaiko Txakolina,19
Vino tinto Laderas de Anguix Club Gourmet Ribera del Duero Magnum,36
Vino blanco Predicador Rioja,"24,9,23"
Vino espumoso Edoné Rosé Gran Cuvée,"15,15,15"
Vino Rosae Arzuaga Ribera del Duero,11
Vinos blancos Austum y Bruberry  Rueda y Montsant,
Vino tinto Martelo Reserva Rioja,24
Cava Anna de Cordorniu Blanc de Blancs Brut,13
Vino rosado Enrique Mendoza Monastrell Alicante,10
Cava Juvé & Camps Reserva de la Familia Brut Nature,16
Vino tinto crianza Prieto Picudo Pricum Margón León,19
Vino tinto ecológico Habla Impar Extremadura,22
Estuche de 3 botellas Malleolus Emilio Moro Ribera del Duero,94
Vino dulce moscatel Pago de Cirsus Navarra,18
Vino tinto crianza Ochoa Serie 8a Mil Gracias Navarra,13
Estuche 3 botellas vino tinto Barón de Ley Varietales Rioja,37
Estuche 2 botellas vino tinto Viña Pomal 106 Barricas con copas Rioja,45
Vino blanco Brezo de Grégory Pérez Godello Bierzo,11
Cava Gran Reserva Brut Imperial Llopart,18
Vino blanco Albariño Pazo Pegullal Rías Baixas,12
Vino tinto La Loba Ribera del Duero,28
Vino blanco joven Jaspi Blanc con DO Terra Alta,9
Vino manzanilla en rama Goya XL Delgado Zuleta Sanlúcar de Barrameda,21
Vino blanco Juan Gil Moscatel seco Jumilla,6
Vino tinto dulce Amantia uva de hielo Castilla y León con estuche,27
Vino tinto Mencía Losada Bierzo,12
Vino tinto Razamonde Ribeiro,13
Vino blanco Finca Las Caraballas Verdejo ecológico Rueda,"13,5"
Vino fino Eléctrico Pedro Ximénez Montilla-Moriles,15
Vino tinto Bozeto de Exopto Rioja,"9,13"
Vino tinto Enate varietales Somontano,
Vinto tinto Finca Casa La Borracha Utiel-Requena,
Vino tinto Viña Pomal 106 barricas reserva Edición Limitada Rioja,
Estuche cava Kripta Brut Nature gran reserva,
Vino tinto Numanthia Toro,46
Cava Blanc de Blancs Ars Collecta de Codorníu,18
Vino tinto La Clave Bierzo Raúl Pérez,"8,10,13"
Vino tinto Marqués de Riscal reserva Rioja,"14,13"
Vino tinto Vega Sicilia Valbuena 5ª 2012 Ribera del Duero,119
Vino tinto Reserva XR de Marqués de Riscal Rioja,21
Vino Botani Muscat Sierras de Málaga Jorge Ordoñez,9
Caja 2 botellas vino tinto Viña Pomal Centenario Reserva Rioja,38
Vino blanco Malvasía seco Bermejo Lanzarote,17
Vino tinto Pintia 2014 Toro,45
Vino blanco Santa Marina Viognier Vendimia Tardía Ribera del Guadiana,7
Cava Gran Reserva brut nature AA Mirgin Laietà,22
Vino tinto Castillo Ygay Gran Reserva Marqués de Murrieta Rioja,94
Vino Tinto de Alicante Tarima Hil,13
Vino tinto Ramón Bilbao Edición Limitada Rioja,12
Vino tinto Maqués de Riscal Reserva Rioja magnum con caja,32
Vino blanco El Perro Verde Rueda Uvas Felices,"10,6"
Vino tinto Marqués de Murrieta Gran Reserva 2011 Rioja,47
Vino tinto Formiga de Vellut Priorato,16
Vino dulce Pedro Ximenez Old & Plus Sánchez Romate Jerez,39
Vino tinto Borsao Tres Picos Garnacha Campo de Borja,12
Vino tinto Pesquera reserva Tempranillo Ribera del Duero,28
Estuche Pago de los Capellanes crianza Ribera del Duero,59
